jd_tdb,calendar,x_jpl_km,y_jpl_km,z_jpl_km,vx_jpl_kms,vy_jpl_kms,vz_jpl_kms,x_num_km,y_num_km,z_num_km,vx_num_kms,vy_num_kms,vz_num_kms,err_r_abs_km,err_r_rel,err_v_abs_kms,err_v_rel,err_rho_abs_km,err_rho_rel
2461087.5,A.D. 2026-Feb-16 00:00:00.0000,-123873349.21576576,80592830.07325569,-4143.5121078155935,-16.729180800074865,-25.080873118449258,0.0015944731433759074,-123872929.83327594,80591801.9444373,-4160.649708521021,-16.7289254280936,-25.081380125524266,0.001585429347411626,1110.5062977450168,7.514439439437248e-06,0.000567761229011415,1.883232464804221e-05,912.2149778902531,6.172665766077286e-06
2461088.5,A.D. 2026-Feb-17 00:00:00.0000,-125299669.50645104,78413587.598973,-4005.1128121018414,-16.286693289417865,-25.36323588265081,0.0016091284493633395,-125299227.79416004,78412515.10938518,-4023.037184802095,-16.286428969964003,-25.36375110619684,0.0015999625152465999,1160.027994127623,7.847940285149482e-06,0.0005791408208919974,1.921364372716492e-05,943.3798988461494,6.382250385192357e-06
2461089.5,A.D. 2026-Feb-18 00:00:00.0000,-126687553.81257015,76210291.91637194,-3865.4696049094205,-15.839483473082915,-25.63764722811971,0.0016232666649358407,-126687088.98787203,76209174.36975688,-3884.1905492080004,-15.839210069921851,-25.63817030690493,0.0016139960953153484,1210.5052294721559,8.187739060554529e-06,0.0005902936959561101,1.9587662392739384e-05,974.3788605034351,6.590603379219931e-06
2461090.5,A.D. 2026-Feb-19 00:00:00.0000,-128036600.504927,73983633.3869544,-3724.627336338163,-15.38769919384102,-25.90402988594412,0.001636883945398182,-128036111.77329063,73982470.1182111,-3744.153133140254,-15.38741656800205,-25.90456046251307,0.0016275262515684681,1261.9168111405522,8.533685416161634e-06,0.0006012290967737838,1.995468554282763e-05,1005.1614395081997,6.797382712943168e-06
2461091.5,A.D. 2026-Feb-20 00:00:00.0000,-129346420.77976283,71734308.92255622,-3582.631143886596,-14.931489483206082,-26.162309499940868,0.0016499774822964497,-129345907.33456142,71733099.29722254,-3602.968591645869,-14.93119749480192,-26.162847224696645,0.001640549328364189,1314.2423804301777,8.885634734865602e-06,0.0006119591744775527,2.0315114620014978e-05,1035.6787841916084,7.00225735831477e-06
2461092.5,A.D. 2026-Feb-21 00:00:00.0000,-130616638.75866124,69463021.73292227,-3439.52636520192,-14.471004496654528,-26.412414644189173,0.001662545426837525,-130616099.78123657,69461765.14640728,-3460.6808878049274,-14.470703008397335,-26.412959177011494,0.001653061851036524,1367.4625580952813,9.24344912029437e-06,0.0006224958650628056,2.0669344009234556e-05,1065.8835372328758,7.2049067714839645e-06
2461093.5,A.D. 2026-Feb-22 00:00:00.0000,-131846891.5828836,67170481.0718181,-3295.35846291855,-14.006395449534272,-26.654276839311493,0.0016745866931646702,-131846326.24296267,67169176.94861247,-3317.3342770730396,-14.006084331229387,-26.65482784842487,0.0016650605263713895,1421.5588268041931,9.606996605603455e-06,0.0006328478415170031,2.101765982195812e-05,1095.7295110225677,7.405018698183847e-06
2461094.5,A.D. 2026-Feb-23 00:00:00.0000,-133036829.5022079,64857401.98180449,-3150.172970809043,-13.537814553957046,-26.887830567059556,0.0016861006660100486,-133036236.95871556,64856049.7749036,-3172.9732915866134,-13.5374936870042,-26.888387725317664,0.0016765422429915289,1476.5131722261349,9.976148732017093e-06,0.0006430181097424239,2.1360159930437558e-05,1125.171198606491,7.602285870133205e-06
2461095.5,A.D. 2026-Feb-24 00:00:00.0000,-134186115.95836423,62524505.03784258,-3004.0154674015935,-13.065414956840126,-27.11301328272478,0.0016970868703154451,-134185495.3605856,62523104.22857986,-3027.642724438781,-13.065084237647827,-27.113576261969083,0.001687504071651115,1532.307554197071,1.0350776982404813e-05,0.0006530027899647456,2.169671327744669e-05,1154.1632425189018,7.796402420571704e-06
2461096.5,A.D. 2026-Feb-25 00:00:00.0000,-135294427.66316307,60172516.08993364,-2856.931577231736,-12.589350678964848,-27.32976542503486,0.0017075446723850978,-135293778.15211964,60171066.18834906,-2881.3876139337294,-12.5890100203573,-27.330333889536117,0.0016979432654409912,1588.9233141461066,1.073074878898796e-05,0.000662791342053411,2.2026967108173698e-05,1182.6600014269352,7.987060964560572e-06
2461097.5,A.D. 2026-Feb-26 00:00:00.0000,-136361454.67138922,57802166.00501751,-2708.9669943600893,-12.109776554672633,-27.53803042341963,0.0017174730720750375,-136360775.3812299,57800666.55079126,-2734.253227827131,-12.109425884788426,-27.538604023541605,0.0017078572599055833,1646.3406363076444,1.1115923909609067e-05,0.0006723681517316958,2.2350399440289928e-05,1210.6153329312801,8.17395114224435e-06
2461098.5,A.D. 2026-Feb-27 00:00:00.0000,-137386900.44849467,55414190.40835336,-2560.1675184555347,-11.626848171678143,-27.73775470276533,0.0017268706222743901,-137386190.50768286,55412640.97223908,-2586.285047560247,-11.626487430419894,-27.738333069885574,0.0017172436730725762,1704.538164384581,1.1506151858460293e-05,0.0006817150866258286,2.266640384548361e-05,1237.982662498951,8.356760095187916e-06
2461099.5,A.D. 2026-Feb-28 00:00:00.0000,-138370481.93307653,53009329.42458742,-2410.579092096538,-11.140721810472547,-27.928887685974235,0.0017357354815619181,-138369740.46518603,53007729.61020222,-2437.528752495188,-11.140350944132566,-27.929470429396115,0.001726100305396515,1763.4928363694235,1.190127081289572e-05,0.0006908144284071011,2.2974386853605377e-05,1264.7153398692608,8.53517488168261e-06
2461100.5,A.D. 2026-Mar-01 00:00:00.0000,-139311929.59408712,50588327.41867857,-2260.2478284537788,-10.651554382917338,-28.111381794772136,0.0017440655763429908,-139311155.71809155,50586676.86446094,-2288.0302041587306,-10.651173338041948,-28.111968500936722,0.001734425139617557,1823.1799533404462,1.2301108100675363e-05,0.000699651526579337,2.3273856235668487e-05,1290.7672230005264,8.708886423332184e-06
2461101.5,A.D. 2026-Mar-02 00:00:00.0000,-140210987.4826967,48151932.73681273,-2109.220021892339,-10.15950336986535,-28.285192449238675,0.0017518588248428557,-140210180.31274137,48150231.117952935,-2137.8354305019525,-10.159112087620924,-28.285782683088335,0.0017422163405366466,1883.573444927914,1.2705482013334826e-05,0.0007082166120554421,2.3564481460987584e-05,1316.0933736264706,8.877594198149372e-06
2461102.5,A.D. 2026-Mar-03 00:00:00.0000,-141067413.2787278,45700897.447397806,-1957.5421387627725,-9.66472675793619,-28.450278066470577,0.001759113362986398,-141066571.92347988,45699144.47757578,-1986.9906101828558,-9.664325170148937,-28.450871374425432,0.0017494722547084672,1944.6462564176993,1.3114204437331765e-05,0.0007165054299403972,2.384611495012306e-05,1340.6507280766964,9.041010759171744e-06
2461103.5,A.D. 2026-Mar-04 00:00:00.0000,-141880978.33160394,43235977.08220145,-1805.2607905734324,-9.167382975838015,-28.606600058637323,0.0017658277158272278,-141880101.89336383,43234172.51502539,-1835.5420568790219,-9.166971003522832,-28.60719597240627,0.001756191410053548,2006.37076252792,1.352708366116102e-05,0.0007245186449546857,2.4118772508040387e-05,1364.3986168801785,9.198865225914954e-06
2461104.5,A.D. 2026-Mar-05 00:00:00.0000,-142651467.6957961,40757930.37768053,-1652.4226961154495,-8.667630830758608,-28.7541228304786,0.00177200088159779,-142650555.26960212,40756074.00778974,-1683.53620363722,-8.667208385463667,-28.754720870898435,0.0017623725153909772,2068.719116086706,1.3943926739391758e-05,0.0007322602518295795,2.4382580602483214e-05,1387.2990438044071,9.350905148026925e-06
2461105.5,A.D. 2026-Mar-06 00:00:00.0000,-143378680.16079748,38267519.016555846,-1499.0746401324875,-8.165629445460791,-28.892813776103985,0.0017776323269416134,-143377730.8337622,38265610.68041427,-1531.0195872667703,-8.165196433152634,-28.893413456361838,0.0017680144598932045,2131.663465187071,1.4364540966646045e-05,0.0007397354757214545,2.463770658238508e-05,1409.3166884183884,9.496896501900353e-06
2461106.5,A.D. 2026-Mar-07 00:00:00.0000,-144062428.27571192,35765507.36969905,-1345.2634362634271,-7.661538196470744,-29.022643274916383,0.0017827218966637304,-144061441.1267796,35763546.946154274,-1378.0388327833145,-7.661094523328454,-29.02324410271197,0.0017731163124644822,2195.17601029123,1.4788734270797208e-05,0.0007469485687699404,2.4884285332815275e-05,1430.4186628758907,9.6366220303465e-06
2461107.5,A.D. 2026-Mar-08 00:00:00.0000,-144702538.36855614,33252662.238420498,-1191.035899983719,-7.155516653635719,-29.143584686385886,0.001787269677807402,-144701512.46881422,33250649.649127558,-1224.6406379095395,-7.155062232877346,-29.144186164887202,0.0017776773210445168,2259.228899632329,1.521631451613784e-05,0.0007539009394441677,2.512235690706452e-05,1450.5740764439106,9.769878288879368e-06
